Country_Name,Category,Search_Velocity,Search_Acceleration,Media_Volume,tone_net_sentiment,tone_polarity,tone_activity_density,Source_Diversity,Inflation_Rate,Internet_Penetration,holiday_count,Search_Velocity_Lag1,Search_Velocity_Lag2
Singapore,Fashion_Beauty,-1.7800000000000011,-10.390000000000008,96.0,-1.63,7.37,20.35,45.0,0.902998495002676,94.37757178,0,8.610000000000007,0.2899999999999991
Singapore,Fashion_Beauty,-1.2899999999999991,0.490000000000002,156.0,-2.07,7.31,20.4,92.0,0.902998495002676,94.37757178,0,-1.7800000000000011,8.610000000000007
Singapore,Fashion_Beauty,-4.800000000000004,-3.510000000000005,113.0,-1.5,6.46,19.62,54.0,0.902998495002676,94.37757178,0,-1.2899999999999991,-1.7800000000000011
Singapore,Fashion_Beauty,4.920000000000002,9.720000000000006,9.0,-0.68,5.6,18.37,8.0,0.902998495002676,94.37757178,0,-4.800000000000004,-1.2899999999999991
Singapore,Fitness_Wearables,-0.3199999999999932,6.450000000000017,2.0,-0.54,6.08,19.72,2.0,0.902998495002676,94.37757178,0,-6.77000000000001,17.77000000000001
Singapore,Fitness_Wearables,-10.38000000000001,-10.060000000000016,3.0,0.03,3.81,19.58,3.0,0.902998495002676,94.37757178,0,-0.3199999999999932,-6.77000000000001
Singapore,Nutrition_Diets,-1.480000000000004,2.979999999999997,284.0,-1.16,7.75,20.27,120.0,0.902998495002676,94.37757178,0,-4.460000000000001,-3.9199999999999946
Singapore,Nutrition_Diets,3.8800000000000026,5.360000000000007,362.0,-1.93,7.84,20.43,88.0,0.902998495002676,94.37757178,0,-1.480000000000004,-4.460000000000001
Singapore,Nutrition_Diets,8.560000000000002,4.68,348.0,-2.06,7.68,20.64,101.0,0.902998495002676,94.37757178,0,3.8800000000000026,-1.480000000000004
Singapore,Nutrition_Diets,-2.410000000000004,-10.970000000000006,45.0,-1.75,6.98,22.09,17.0,0.902998495002676,94.37757178,0,8.560000000000002,3.8800000000000026
United_States,Fashion_Beauty,-0.0900000000000034,2.059999999999995,12726.0,-1.07,6.93,21.77,3917.0,2.94952520485207,94.69380188,0,-2.1499999999999986,0.1600000000000037
United_States,Fashion_Beauty,1.6199999999999974,1.7100000000000009,15360.0,-1.48,7.08,21.47,3996.0,2.94952520485207,94.69380188,0,-0.0900000000000034,-2.1499999999999986
United_States,Fashion_Beauty,1.0399999999999991,-0.5799999999999983,13781.0,-1.13,6.86,21.61,4005.0,2.94952520485207,94.69380188,1,1.6199999999999974,-0.0900000000000034
United_States,Fashion_Beauty,-2.779999999999994,-3.819999999999993,1105.0,-0.82,6.74,21.69,732.0,2.94952520485207,94.69380188,0,1.0399999999999991,1.6199999999999974
United_States,Fitness_Wearables,-2.5899999999999963,-1.269999999999996,444.0,-1.11,6.72,20.71,315.0,2.94952520485207,94.69380188,0,-1.3200000000000005,-2.18
United_States,Fitness_Wearables,0.4099999999999966,2.999999999999993,480.0,-4.52,9.78,20.8,311.0,2.94952520485207,94.69380188,0,-2.5899999999999963,-1.3200000000000005
United_States,Fitness_Wearables,0.0600000000000022,-0.3499999999999943,344.0,-0.65,6.04,21.99,274.0,2.94952520485207,94.69380188,1,0.4099999999999966,-2.5899999999999963
United_States,Fitness_Wearables,1.1700000000000017,1.1099999999999994,37.0,-2.55,7.9,17.59,36.0,2.94952520485207,94.69380188,0,0.0600000000000022,0.4099999999999966
United_States,Nutrition_Diets,-1.2000000000000028,-0.0700000000000002,92616.0,-1.44,7.6,22.21,7760.0,2.94952520485207,94.69380188,0,-1.1300000000000026,-3.5700000000000003
United_States,Nutrition_Diets,1.6200000000000043,2.8200000000000074,85072.0,-1.79,7.55,22.51,7632.0,2.94952520485207,94.69380188,0,-1.2000000000000028,-1.1300000000000026
United_States,Nutrition_Diets,0.3399999999999963,-1.2800000000000082,75697.0,-1.74,7.43,22.25,7588.0,2.94952520485207,94.69380188,1,1.6200000000000043,-1.2000000000000028
United_States,Nutrition_Diets,-2.8299999999999983,-3.1699999999999946,6373.0,-1.55,7.4,22.33,2558.0,2.94952520485207,94.69380188,0,0.3399999999999963,1.6200000000000043
South_Africa,Fashion_Beauty,-4.730000000000004,-15.230000000000004,61.0,-0.71,8.31,21.81,44.0,3.20550474112603,78.35759735,0,10.5,-3.820000000000008
South_Africa,Fashion_Beauty,-4.269999999999996,0.4600000000000079,44.0,-1.0,8.57,21.82,31.0,3.20550474112603,78.35759735,0,-4.730000000000004,10.5
South_Africa,Fashion_Beauty,3.710000000000008,7.980000000000004,24.0,0.09,7.53,25.01,19.0,3.20550474112603,78.35759735,0,-4.269999999999996,-4.730000000000004
South_Africa,Fashion_Beauty,-1.6600000000000108,-5.370000000000019,1.0,3.68,6.13,32.62,1.0,3.20550474112603,78.35759735,0,3.710000000000008,-4.269999999999996
South_Africa,Fitness_Wearables,-2.469999999999999,-3.3699999999999903,31.0,-7.0,10.55,21.02,31.0,3.20550474112603,78.35759735,0,0.8999999999999915,0.2800000000000011
